Model,Dropout,Hidden Layers,Neurons per Layer,Activation,Learning Rate,Batch Size,Regularizer,Optimizer,Loss Function,R2,RMSE,Train Loss,Val Loss,RMSE Step 1,RMSE Step 2,RMSE Step 3,RMSE Step 4,RMSE Step 5,RMSE Step 6
242,0.1,4,64,relu,0.001,2048,<keras.src.regularizers.L2 object at 0x742f8f4ffbe0>,SGD,mean_squared_error,0.9633434414863586,0.19308198432803714,0.04899895563721657,0.050359707325696945,0.11264631475449387,0.14110956337135117,0.1741410856876511,0.20296826205350083,0.23214284927901072,0.25627281332366386
243,0.1,4,64,relu,0.001,2048,<keras.src.regularizers.L1L2 object at 0x742f8f4ffc10>,Adam,mean_squared_error,0.955413818359375,0.21294419900687223,0.10920695960521698,0.14111964404582977,0.13310863614543583,0.16090632156282497,0.19757319973089985,0.2295194249838641,0.250871044256601,0.27169266314051194
244,0.1,4,64,relu,0.001,2048,<keras.src.regularizers.L1L2 object at 0x742f8f4ffc10>,SGD,mean_squared_error,0.9598138332366943,0.2021639629059648,0.12254752963781357,0.14221252501010895,0.13242213867470512,0.1522852338547531,0.1841336654927213,0.21278770618701429,0.2379140070141826,0.2621330037187446
245,0.1,4,64,relu,0.01,2048,<keras.src.regularizers.L2 object at 0x742f8f4ffbe0>,Adam,mean_squared_error,0.9120293259620667,0.29911273293263524,0.08886450529098511,0.13881562650203705,0.2529559829847192,0.27620213978638536,0.28804012185836675,0.3016621877544599,0.3239384394486458,0.3429848257427447
246,0.1,4,64,relu,0.01,2048,<keras.src.regularizers.L2 object at 0x742f8f4ffbe0>,SGD,mean_squared_error,0.9642142653465271,0.19077457594386357,0.054256029427051544,0.050315793603658676,0.11184265086474274,0.13813946517320908,0.16977405767270434,0.20189756334224457,0.22877927390744088,0.2546741296258327
247,0.1,4,64,relu,0.01,2048,<keras.src.regularizers.L1L2 object at 0x742f8f4ffc10>,Adam,mean_squared_error,0.7650548815727234,0.4888205487342574,0.4684624671936035,0.7741661071777344,0.4641241388593548,0.4732080677011749,0.48154040559270417,0.49703702678114736,0.500365585496752,0.5148355737816095
248,0.1,4,64,relu,0.01,2048,<keras.src.regularizers.L1L2 object at 0x742f8f4ffc10>,SGD,mean_squared_error,0.9428562521934509,0.2410740251439144,0.1759835183620453,0.4749791622161865,0.15002103333196357,0.22665964484386517,0.21169669520089704,0.24259629589651982,0.2604795562460938,0.32141396936586586
249,0.1,4,64,tanh,0.001,2048,<keras.src.regularizers.L2 object at 0x742f8f4ffbe0>,Adam,mean_squared_error,0.9587906002998352,0.20472166780859405,0.07796914875507355,0.05933143198490143,0.1356926956811166,0.16006769546594243,0.18755300414491516,0.21439506081047188,0.23962967618043007,0.2624380161483564
250,0.1,4,64,tanh,0.001,2048,<keras.src.regularizers.L2 object at 0x742f8f4ffbe0>,SGD,mean_squared_error,0.9505317211151123,0.22430010525866353,0.2629516124725342,0.17873258888721466,0.17330258121394315,0.18789322202317763,0.20905017592901173,0.23132735663345716,0.25362164638443935,0.2738556964431839
251,0.1,4,64,tanh,0.001,2048,<keras.src.regularizers.L1L2 object at 0x742f8f4ffc10>,Adam,mean_squared_error,0.9339041709899902,0.25927051887222374,0.2915923595428467,1.2543741464614868,0.2135394422934143,0.22700661580919232,0.24933055097864326,0.2554370561866738,0.29510740933835783,0.30281616368941877
